,vaccinated,extrapolated,data_date,real_date,dose,group,location
0,315439,True,2021-01-25,2021-01-24,1,>=80,East Of England
1,397071,True,2021-01-25,2021-01-24,1,<80,East Of England
2,44581,True,2021-01-25,2021-01-24,2,>=80,East Of England
3,9033,True,2021-01-25,2021-01-24,2,<80,East Of England
4,200545,True,2021-01-25,2021-01-24,1,>=80,London
5,411499,True,2021-01-25,2021-01-24,1,<80,London
6,37345,True,2021-01-25,2021-01-24,2,>=80,London
7,17910,True,2021-01-25,2021-01-24,2,<80,London
8,472236,True,2021-01-25,2021-01-24,1,>=80,Midlands
9,609751,True,2021-01-25,2021-01-24,1,<80,Midlands
10,48098,True,2021-01-25,2021-01-24,2,>=80,Midlands
11,19095,True,2021-01-25,2021-01-24,2,<80,Midlands
12,373531,True,2021-01-25,2021-01-24,1,>=80,North East And Yorkshire
13,553587,True,2021-01-25,2021-01-24,1,<80,North East And Yorkshire
14,53017,True,2021-01-25,2021-01-24,2,>=80,North East And Yorkshire
15,18726,True,2021-01-25,2021-01-24,2,<80,North East And Yorkshire
16,324664,True,2021-01-25,2021-01-24,1,>=80,North West
17,471394,True,2021-01-25,2021-01-24,1,<80,North West
18,40205,True,2021-01-25,2021-01-24,2,>=80,North West
19,23387,True,2021-01-25,2021-01-24,2,<80,North West
20,413525,True,2021-01-25,2021-01-24,1,>=80,South East
21,496924,True,2021-01-25,2021-01-24,1,<80,South East
22,54055,True,2021-01-25,2021-01-24,2,>=80,South East
23,22327,True,2021-01-25,2021-01-24,2,<80,South East
24,308245,True,2021-01-25,2021-01-24,1,>=80,South West
25,346300,True,2021-01-25,2021-01-24,1,<80,South West
26,41762,True,2021-01-25,2021-01-24,2,>=80,South West
27,11841,True,2021-01-25,2021-01-24,2,<80,South West
28,184885,True,2021-01-18,2021-01-17,1,>=80,East Of England
29,186103,True,2021-01-18,2021-01-17,1,<80,East Of England
30,44933,True,2021-01-18,2021-01-17,2,>=80,East Of England
31,8212,True,2021-01-18,2021-01-17,2,<80,East Of England
32,143345,True,2021-01-18,2021-01-17,1,>=80,London
33,223863,True,2021-01-18,2021-01-17,1,<80,London
34,35650,True,2021-01-18,2021-01-17,2,>=80,London
35,14365,True,2021-01-18,2021-01-17,2,<80,London
36,316779,True,2021-01-18,2021-01-17,1,>=80,Midlands
37,364262,True,2021-01-18,2021-01-17,1,<80,Midlands
38,47950,True,2021-01-18,2021-01-17,2,>=80,Midlands
39,17494,True,2021-01-18,2021-01-17,2,<80,Midlands
40,288162,True,2021-01-18,2021-01-17,1,>=80,North East And Yorkshire
41,322521,True,2021-01-18,2021-01-17,1,<80,North East And Yorkshire
42,54336,True,2021-01-18,2021-01-17,2,>=80,North East And Yorkshire
43,16296,True,2021-01-18,2021-01-17,2,<80,North East And Yorkshire
44,214924,True,2021-01-18,2021-01-17,1,>=80,North West
45,265302,True,2021-01-18,2021-01-17,1,<80,North West
46,41215,True,2021-01-18,2021-01-17,2,>=80,North West
47,19702,True,2021-01-18,2021-01-17,2,<80,North West
48,281877,True,2021-01-18,2021-01-17,1,>=80,South East
49,296409,True,2021-01-18,2021-01-17,1,<80,South East
50,54679,True,2021-01-18,2021-01-17,2,>=80,South East
51,19383,True,2021-01-18,2021-01-17,2,<80,South East
52,205773,True,2021-01-18,2021-01-17,1,>=80,South West
53,203286,True,2021-01-18,2021-01-17,1,<80,South West
54,41788,True,2021-01-18,2021-01-17,2,>=80,South West
55,10943,True,2021-01-18,2021-01-17,2,<80,South West
56,280497,True,2021-01-23,2021-01-22,1,>=80,East Of England
57,331124,True,2021-01-23,2021-01-22,1,<80,East Of England
58,44725,True,2021-01-23,2021-01-22,2,>=80,East Of England
59,8805,True,2021-01-23,2021-01-22,2,<80,East Of England
60,188622,True,2021-01-23,2021-01-22,1,>=80,London
61,357192,True,2021-01-23,2021-01-22,1,<80,London
62,37582,True,2021-01-23,2021-01-22,2,>=80,London
63,17170,True,2021-01-23,2021-01-22,2,<80,London
64,431300,True,2021-01-23,2021-01-22,1,>=80,Midlands
65,538678,True,2021-01-23,2021-01-22,1,<80,Midlands
66,48352,True,2021-01-23,2021-01-22,2,>=80,Midlands
67,18744,True,2021-01-23,2021-01-22,2,<80,Midlands
68,352001,True,2021-01-23,2021-01-22,1,>=80,North East And Yorkshire
69,480937,True,2021-01-23,2021-01-22,1,<80,North East And Yorkshire
70,53592,True,2021-01-23,2021-01-22,2,>=80,North East And Yorkshire
71,18090,True,2021-01-23,2021-01-22,2,<80,North East And Yorkshire
72,298289,True,2021-01-23,2021-01-22,1,>=80,North West
73,413304,True,2021-01-23,2021-01-22,1,<80,North West
74,40887,True,2021-01-23,2021-01-22,2,>=80,North West
