,dose,real_date,extrapolated,vaccinated,interpolated,group,population
0,1,2020-12-27,False,786000,0,all,56286961
533,2,2020-12-27,False,0,0,all,56286961
1,1,2021-01-03,False,1092885,0,all,56286961
534,2,2021-01-03,False,19981,0,all,56286961
1066,2_wait,2021-01-03,False,0,0,all,56286961
2,1,2021-01-10,False,1959150,1,all,56286961
535,2,2021-01-10,False,374612,1,all,56286961
1067,2_wait,2021-01-10,False,19981,0,all,56286961
3,1,2021-01-11,False,2080279,1,all,56286961
536,2,2021-01-11,False,393924,1,all,56286961
537,2,2021-01-12,False,407293,1,all,56286961
4,1,2021-01-12,False,2254555,1,all,56286961
538,2,2021-01-13,False,415655,1,all,56286961
5,1,2021-01-13,False,2494370,1,all,56286961
6,1,2021-01-14,False,2769163,1,all,56286961
539,2,2021-01-14,False,420509,1,all,56286961
7,1,2021-01-15,False,3090057,1,all,56286961
540,2,2021-01-15,False,424326,1,all,56286961
8,1,2021-01-16,False,3365491,1,all,56286961
541,2,2021-01-16,False,426101,1,all,56286961
9,1,2021-01-17,False,3520055,1,all,56286961
542,2,2021-01-17,False,427385,1,all,56286961
1068,2_wait,2021-01-17,False,374612,1,all,56286961
1069,2_wait,2021-01-18,False,393924,1,all,56286961
543,2,2021-01-18,False,431135,1,all,56286961
10,1,2021-01-18,False,3687205,1,all,56286961
544,2,2021-01-19,False,434124,1,all,56286961
11,1,2021-01-19,False,3985578,1,all,56286961
1070,2_wait,2021-01-19,False,407293,1,all,56286961
545,2,2021-01-20,False,436847,1,all,56286961
12,1,2021-01-20,False,4303729,1,all,56286961
1071,2_wait,2021-01-20,False,415655,1,all,56286961
546,2,2021-01-21,False,439181,1,all,56286961
13,1,2021-01-21,False,4661292,1,all,56286961
1072,2_wait,2021-01-21,False,420509,1,all,56286961
547,2,2021-01-22,False,440299,1,all,56286961
14,1,2021-01-22,False,5085770,1,all,56286961
1073,2_wait,2021-01-22,False,424326,1,all,56286961
548,2,2021-01-23,False,441073,1,all,56286961
15,1,2021-01-23,False,5529100,1,all,56286961
1074,2_wait,2021-01-23,False,426101,1,all,56286961
549,2,2021-01-24,False,441682,1,all,56286961
16,1,2021-01-24,False,5727689,1,all,56286961
1075,2_wait,2021-01-24,False,427385,1,all,56286961
17,1,2021-01-25,False,5962541,1,all,56286961
550,2,2021-01-25,False,443008,1,all,56286961
1076,2_wait,2021-01-25,False,431135,1,all,56286961
551,2,2021-01-26,False,444008,1,all,56286961
1077,2_wait,2021-01-26,False,434124,1,all,56286961
18,1,2021-01-26,False,6221848,1,all,56286961
552,2,2021-01-27,False,445098,1,all,56286961
1078,2_wait,2021-01-27,False,436847,1,all,56286961
19,1,2021-01-27,False,6473749,1,all,56286961
1079,2_wait,2021-01-28,False,439181,1,all,56286961
553,2,2021-01-28,False,446370,1,all,56286961
20,1,2021-01-28,False,6816943,1,all,56286961
21,1,2021-01-29,False,7253302,1,all,56286961
554,2,2021-01-29,False,447896,1,all,56286961
1080,2_wait,2021-01-29,False,440299,1,all,56286961
22,1,2021-01-30,False,7792993,1,all,56286961
555,2,2021-01-30,False,458148,1,all,56286961
1081,2_wait,2021-01-30,False,441073,1,all,56286961
23,1,2021-01-31,False,8082353,1,all,56286961
556,2,2021-01-31,False,460905,1,all,56286961
1082,2_wait,2021-01-31,False,441682,1,all,56286961
1083,2_wait,2021-02-01,False,443008,1,all,56286961
557,2,2021-02-01,False,462501,1,all,56286961
24,1,2021-02-01,False,8362866,1,all,56286961
558,2,2021-02-02,False,463887,1,all,56286961
25,1,2021-02-02,False,8663039,1,all,56286961
1084,2_wait,2021-02-02,False,444008,1,all,56286961
559,2,2021-02-03,False,466169,1,all,56286961
26,1,2021-02-03,False,9041833,1,all,56286961
1085,2_wait,2021-02-03,False,445098,1,all,56286961
27,1,2021-02-04,False,9430259,1,all,56286961
1086,2_wait,2021-02-04,False,446370,1,all,56286961
560,2,2021-02-04,False,468780,1,all,56286961
561,2,2021-02-05,False,470720,1,all,56286961
28,1,2021-02-05,False,9831894,1,all,56286961
1087,2_wait,2021-02-05,False,447896,1,all,56286961
1088,2_wait,2021-02-06,False,458148,1,all,56286961
562,2,2021-02-06,False,471322,1,all,56286961
29,1,2021-02-06,False,10290213,1,all,56286961
30,1,2021-02-07,False,10519726,1,all,56286961
1089,2_wait,2021-02-07,False,460905,1,all,56286961
563,2,2021-02-07,False,471633,1,all,56286961
31,1,2021-02-08,False,10771995,1,all,56286961
1090,2_wait,2021-02-08,False,462501,1,all,56286961
564,2,2021-02-08,False,473053,1,all,56286961
32,1,2021-02-09,False,11083651,1,all,56286961
1091,2_wait,2021-02-09,False,463887,1,all,56286961
565,2,2021-02-09,False,475226,1,all,56286961
